--- model size ---
model: 55,192,704
======= start training =======
epoch|batch_idx/num_batches|output_dir|batch/s|lr|time|step
epoch: 151 |   3/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.020 | time: 0:06:20.1 | step: 910
epoch: 153 |   1/  6 | logs/44k/diffusion | batch/s: 2.47 | lr: 0.0001 | loss: 0.018 | time: 0:06:24.2 | step: 920
epoch: 154 |   5/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.004 | time: 0:06:28.1 | step: 930
epoch: 156 |   3/  6 | logs/44k/diffusion | batch/s: 2.40 | lr: 0.0001 | loss: 0.012 | time: 0:06:32.6 | step: 940
epoch: 158 |   1/  6 | logs/44k/diffusion | batch/s: 2.48 | lr: 0.0001 | loss: 0.027 | time: 0:06:36.6 | step: 950
epoch: 159 |   5/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.013 | time: 0:06:40.6 | step: 960
epoch: 161 |   3/  6 | logs/44k/diffusion | batch/s: 2.38 | lr: 0.0001 | loss: 0.015 | time: 0:06:45.0 | step: 970
epoch: 163 |   1/  6 | logs/44k/diffusion | batch/s: 2.47 | lr: 0.0001 | loss: 0.013 | time: 0:06:49.1 | step: 980
epoch: 164 |   5/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.001 | time: 0:06:53.0 | step: 990
epoch: 166 |   3/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.023 | time: 0:06:57.5 | step: 1000
epoch: 168 |   1/  6 | logs/44k/diffusion | batch/s: 2.47 | lr: 0.0001 | loss: 0.010 | time: 0:07:01.6 | step: 1010
epoch: 169 |   5/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.004 | time: 0:07:05.6 | step: 1020
epoch: 171 |   3/  6 | logs/44k/diffusion | batch/s: 2.38 | lr: 0.0001 | loss: 0.021 | time: 0:07:10.0 | step: 1030
epoch: 173 |   1/  6 | logs/44k/diffusion | batch/s: 2.45 | lr: 0.0001 | loss: 0.007 | time: 0:07:14.1 | step: 1040
epoch: 174 |   5/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.006 | time: 0:07:18.1 | step: 1050
epoch: 176 |   3/  6 | logs/44k/diffusion | batch/s: 2.38 | lr: 0.0001 | loss: 0.008 | time: 0:07:22.5 | step: 1060
epoch: 178 |   1/  6 | logs/44k/diffusion | batch/s: 2.47 | lr: 0.0001 | loss: 0.009 | time: 0:07:26.6 | step: 1070
epoch: 179 |   5/  6 | logs/44k/diffusion | batch/s: 2.38 | lr: 0.0001 | loss: 0.049 | time: 0:07:30.5 | step: 1080
epoch: 181 |   3/  6 | logs/44k/diffusion | batch/s: 2.35 | lr: 0.0001 | loss: 0.019 | time: 0:07:35.0 | step: 1090
epoch: 183 |   1/  6 | logs/44k/diffusion | batch/s: 2.48 | lr: 0.0001 | loss: 0.006 | time: 0:07:39.1 | step: 1100
epoch: 184 |   5/  6 | logs/44k/diffusion | batch/s: 2.39 | lr: 0.0001 | loss: 0.009 | time: 0:07:43.0 | step: 1110
epoch: 186 |   3/  6 | logs/44k/diffusion | batch/s: 2.39 | lr: 0.0001 | loss: 0.030 | time: 0:07:47.4 | step: 1120
epoch: 188 |   1/  6 | logs/44k/diffusion | batch/s: 2.50 | lr: 0.0001 | loss: 0.021 | time: 0:07:51.4 | step: 1130
epoch: 189 |   5/  6 | logs/44k/diffusion | batch/s: 2.38 | lr: 0.0001 | loss: 0.001 | time: 0:07:55.4 | step: 1140
epoch: 191 |   3/  6 | logs/44k/diffusion | batch/s: 2.38 | lr: 0.0001 | loss: 0.009 | time: 0:07:59.9 | step: 1150
epoch: 193 |   1/  6 | logs/44k/diffusion | batch/s: 2.46 | lr: 0.0001 | loss: 0.015 | time: 0:08:03.9 | step: 1160
epoch: 194 |   5/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.012 | time: 0:08:07.9 | step: 1170
epoch: 196 |   3/  6 | logs/44k/diffusion | batch/s: 2.34 | lr: 0.0001 | loss: 0.012 | time: 0:08:12.4 | step: 1180
epoch: 198 |   1/  6 | logs/44k/diffusion | batch/s: 2.49 | lr: 0.0001 | loss: 0.008 | time: 0:08:16.4 | step: 1190
epoch: 199 |   5/  6 | logs/44k/diffusion | batch/s: 2.39 | lr: 0.0001 | loss: 0.001 | time: 0:08:20.4 | step: 1200
epoch: 201 |   3/  6 | logs/44k/diffusion | batch/s: 2.38 | lr: 0.0001 | loss: 0.012 | time: 0:08:24.8 | step: 1210
epoch: 203 |   1/  6 | logs/44k/diffusion | batch/s: 2.49 | lr: 0.0001 | loss: 0.009 | time: 0:08:28.8 | step: 1220
